Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_4_45,VPWR,li1,27.6000,24.4800,1.799903
FILLER_0_4_29,VPWR,li1,20.7000,24.4800,1.799927
FILLER_0_4_26,VPWR,li1,17.9400,24.4800,1.799935
FILLER_0_4_16,VPWR,li1,13.1100,24.4800,1.799961
FILLER_0_4_6,VPWR,li1,9.6600,24.4800,1.799961
FILLER_0_3_138,VPWR,li1,69.2300,19.0400,1.799900
FILLER_0_3_132,VPWR,li1,67.6200,19.0400,1.799900
FILLER_0_3_120,VPWR,li1,63.4800,19.0400,1.799905
FILLER_0_3_109,VPWR,li1,56.3500,19.0400,1.799914
FILLER_0_3_93,VPWR,li1,50.1400,19.0400,1.799922
FILLER_0_3_81,VPWR,li1,45.5400,19.0400,1.799928
FILLER_0_3_69,VPWR,li1,40.0200,19.0400,1.799935
FILLER_0_3_57,VPWR,li1,34.5000,19.0400,1.799942
FILLER_0_3_55,VPWR,li1,31.0500,19.0400,1.799947
FILLER_0_3_47,VPWR,li1,27.3700,19.0400,1.799951
FILLER_0_3_39,VPWR,li1,25.3000,19.0400,1.799954
FILLER_0_3_27,VPWR,li1,20.7000,19.0400,1.799960
FILLER_0_3_3,VPWR,li1,7.1300,19.0400,1.799970
FILLER_0_2_152,VPWR,li1,75.6700,19.0400,1.799892
FILLER_0_2_148,VPWR,li1,74.5200,19.0400,1.799892
FILLER_0_2_139,VPWR,li1,69.6900,19.0400,1.799897
FILLER_0_2_133,VPWR,li1,68.0800,19.0400,1.799900
FILLER_0_2_121,VPWR,li1,63.9400,19.0400,1.799905
FILLER_0_2_109,VPWR,li1,58.4200,19.0400,1.799912
FILLER_0_2_97,VPWR,li1,52.9000,19.0400,1.799919
FILLER_0_2_85,VPWR,li1,47.3800,19.0400,1.799926
FILLER_0_2_83,VPWR,li1,43.9300,19.0400,1.799932
FILLER_0_2_71,VPWR,li1,40.9400,19.0400,1.799935
FILLER_0_2_59,VPWR,li1,35.4200,19.0400,1.799942
FILLER_0_2_47,VPWR,li1,29.9000,19.0400,1.799949
FILLER_0_2_29,VPWR,li1,19.5500,19.0400,1.799962
FILLER_0_2_24,VPWR,li1,17.4800,19.0400,1.799966
FILLER_0_2_6,VPWR,li1,9.6600,19.0400,1.799970
FILLER_0_1_156,VPWR,li1,77.9700,13.6000,1.799701
FILLER_0_1_148,VPWR,li1,75.4400,13.6000,1.799701
FILLER_0_1_136,VPWR,li1,70.8400,13.6000,1.799701
FILLER_0_1_111,VPWR,li1,56.8100,13.6000,1.799734
FILLER_0_1_105,VPWR,li1,55.2000,13.6000,1.799734
FILLER_0_1_93,VPWR,li1,51.0600,13.6000,1.799752
FILLER_0_1_81,VPWR,li1,45.5400,13.6000,1.799777
FILLER_0_1_69,VPWR,li1,40.0200,13.6000,1.799801
FILLER_0_1_57,VPWR,li1,34.5000,13.6000,1.799826
FILLER_0_1_55,VPWR,li1,31.0500,13.6000,1.799846
FILLER_0_1_51,VPWR,li1,29.9000,13.6000,1.799846
FILLER_0_1_3,VPWR,li1,7.3600,13.6000,1.799936
FILLER_0_0_153,VPWR,li1,76.5900,13.6000,1.799701
FILLER_0_0_141,VPWR,li1,73.1400,13.6000,1.799701
FILLER_0_0_139,VPWR,li1,69.6900,13.6000,1.799701
FILLER_0_0_113,VPWR,li1,58.1900,13.6000,1.799725
FILLER_0_0_109,VPWR,li1,56.3500,13.6000,1.799734
FILLER_0_0_97,VPWR,li1,52.9000,13.6000,1.799744
FILLER_0_0_85,VPWR,li1,47.3800,13.6000,1.799769
FILLER_0_0_81,VPWR,li1,43.4700,13.6000,1.799789
FILLER_0_0_69,VPWR,li1,40.0200,13.6000,1.799801
FILLER_0_0_57,VPWR,li1,34.5000,13.6000,1.799826
FILLER_0_0_53,VPWR,li1,30.5900,13.6000,1.799846
FILLER_0_0_41,VPWR,li1,27.1400,13.6000,1.799858
FILLER_0_0_29,VPWR,li1,21.6200,13.6000,1.799885
FILLER_0_0_27,VPWR,li1,18.1700,13.6000,1.799904
FILLER_0_0_19,VPWR,li1,16.1000,13.6000,1.799916
clkbuf_1_1__f_clk_CPU,VPWR,li1,54.7400,46.2400,1.799462
clkbuf_1_0__f_clk_CPU,VPWR,li1,30.8200,46.2400,1.799627
clkbuf_0_clk_CPU,VPWR,li1,43.2400,46.2400,1.799526
_377__33,VPWR,li1,77.9700,84.3200,1.800000
_376__32,VPWR,li1,76.5900,84.3200,1.800000
output31,VPWR,li1,77.9700,13.6000,1.799701
output30,VPWR,li1,77.9700,19.0400,1.799891
output29,VPWR,li1,77.9700,35.3600,1.799797
output28,VPWR,li1,77.9700,24.4800,1.799819
output27,VPWR,li1,77.9700,29.9200,1.799743
output26,VPWR,li1,77.9700,78.8800,1.799988
output25,VPWR,li1,77.9700,73.4400,1.799983
output24,VPWR,li1,77.9700,68.0000,1.799927
output23,VPWR,li1,77.9700,62.5600,1.799798
output22,VPWR,li1,77.9700,57.1200,1.799766
output21,VPWR,li1,77.9700,46.2400,1.799452
output20,VPWR,li1,77.9700,46.2400,1.799452
output19,VPWR,li1,77.9700,40.8000,1.799715
input18,VPWR,li1,10.5800,84.3200,1.800000
input17,VPWR,li1,8.2800,84.3200,1.800000
input16,VPWR,li1,8.2800,78.8800,1.799998
input15,VPWR,li1,8.2800,73.4400,1.799996
input14,VPWR,li1,7.5900,24.4800,1.799961
input13,VPWR,li1,7.5900,35.3600,1.799947
input12,VPWR,li1,7.5900,29.9200,1.799947
input11,VPWR,li1,10.5800,13.6000,1.799936
input10,VPWR,li1,7.5900,19.0400,1.799970
input9,VPWR,li1,7.5900,73.4400,1.799996
input8,VPWR,li1,7.5900,68.0000,1.799977
input7,VPWR,li1,7.5900,62.5600,1.799960
input6,VPWR,li1,7.5900,57.1200,1.799954
input5,VPWR,li1,7.5900,51.6800,1.799942
input4,VPWR,li1,10.8100,51.6800,1.799942
input3,VPWR,li1,7.5900,46.2400,1.799860
input2,VPWR,li1,7.5900,40.8000,1.799935
input1,VPWR,li1,7.8200,40.8000,1.799935
TAP_TAPCELL_ROW_26_125,VPWR,li1,70.1500,84.0130,1.800000
TAP_TAPCELL_ROW_26_124,VPWR,li1,57.2700,84.0130,1.800000
TAP_TAPCELL_ROW_26_123,VPWR,li1,44.3900,84.0130,1.800000
TAP_TAPCELL_ROW_26_122,VPWR,li1,31.5100,84.0130,1.800000
TAP_TAPCELL_ROW_26_121,VPWR,li1,18.6300,84.0130,1.800000
TAP_TAPCELL_ROW_25_120,VPWR,li1,57.2700,79.1860,1.799990
TAP_TAPCELL_ROW_25_119,VPWR,li1,31.5100,79.1860,1.799994
TAP_TAPCELL_ROW_24_118,VPWR,li1,70.1500,78.5730,1.799989
TAP_TAPCELL_ROW_24_117,VPWR,li1,44.3900,78.5730,1.799992
TAP_TAPCELL_ROW_24_116,VPWR,li1,18.6300,78.5730,1.799996
TAP_TAPCELL_ROW_23_115,VPWR,li1,57.2700,73.7460,1.799985
TAP_TAPCELL_ROW_23_114,VPWR,li1,31.5100,73.7460,1.799989
TAP_TAPCELL_ROW_22_113,VPWR,li1,70.1500,73.1330,1.799984
TAP_TAPCELL_ROW_22_112,VPWR,li1,44.3900,73.1330,1.799987
TAP_TAPCELL_ROW_22_111,VPWR,li1,18.6300,73.1330,1.799994
