Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_8_83,VGND,li1,43.9300,32.6400,0.000119
FILLER_0_8_74,VGND,li1,40.4800,32.6400,0.000116
FILLER_0_8_27,VGND,li1,18.1700,32.6400,0.000052
FILLER_0_8_21,VGND,li1,16.5600,32.6400,0.000042
FILLER_0_7_137,VGND,li1,69.0000,32.6400,0.000156
FILLER_0_7_125,VGND,li1,65.7800,32.6400,0.000151
FILLER_0_7_113,VGND,li1,58.4200,32.6400,0.000141
FILLER_0_7_111,VGND,li1,56.8100,32.6400,0.000138
FILLER_0_7_107,VGND,li1,55.6600,32.6400,0.000138
FILLER_0_7_84,VGND,li1,46.9200,32.6400,0.000125
FILLER_0_7_72,VGND,li1,41.4000,32.6400,0.000116
FILLER_0_7_66,VGND,li1,36.1100,32.6400,0.000109
FILLER_0_7_57,VGND,li1,32.2000,32.6400,0.000097
FILLER_0_7_55,VGND,li1,31.0500,32.6400,0.000097
FILLER_0_7_47,VGND,li1,28.9800,32.6400,0.000091
FILLER_0_7_36,VGND,li1,23.4600,32.6400,0.000075
FILLER_0_7_30,VGND,li1,20.0100,32.6400,0.000060
FILLER_0_7_18,VGND,li1,16.5600,32.6400,0.000042
FILLER_0_7_6,VGND,li1,11.0400,32.6400,0.000042
FILLER_0_6_154,VGND,li1,76.8200,27.2000,0.000267
FILLER_0_6_146,VGND,li1,74.5200,27.2000,0.000267
FILLER_0_6_138,VGND,li1,69.4600,27.2000,0.000261
FILLER_0_6_126,VGND,li1,66.2400,27.2000,0.000257
FILLER_0_6_108,VGND,li1,57.9600,27.2000,0.000247
FILLER_0_6_51,VGND,li1,31.7400,27.2000,0.000160
FILLER_0_6_39,VGND,li1,26.2200,27.2000,0.000132
FILLER_0_6_29,VGND,li1,19.3200,27.2000,0.000084
FILLER_0_6_24,VGND,li1,17.4800,27.2000,0.000066
FILLER_0_6_12,VGND,li1,13.8000,27.2000,0.000066
FILLER_0_5_124,VGND,li1,63.4800,27.2000,0.000252
FILLER_0_5_113,VGND,li1,57.7300,27.2000,0.000247
FILLER_0_5_111,VGND,li1,56.8100,27.2000,0.000244
FILLER_0_5_107,VGND,li1,55.6600,27.2000,0.000244
FILLER_0_5_93,VGND,li1,49.6800,27.2000,0.000237
FILLER_0_5_81,VGND,li1,45.5400,27.2000,0.000222
FILLER_0_5_69,VGND,li1,40.0200,27.2000,0.000199
FILLER_0_5_57,VGND,li1,34.5000,27.2000,0.000175
FILLER_0_5_27,VGND,li1,18.6300,27.2000,0.000084
FILLER_0_5_17,VGND,li1,13.8000,27.2000,0.000066
FILLER_0_5_3,VGND,li1,7.1300,27.2000,0.000066
FILLER_0_4_148,VGND,li1,75.4400,21.7600,0.000134
FILLER_0_4_137,VGND,li1,69.2300,21.7600,0.000128
FILLER_0_4_120,VGND,li1,61.4100,21.7600,0.000117
FILLER_0_4_101,VGND,li1,52.2100,21.7600,0.000104
FILLER_0_4_97,VGND,li1,51.0600,21.7600,0.000101
FILLER_0_4_85,VGND,li1,47.3800,21.7600,0.000098
FILLER_0_4_83,VGND,li1,43.9300,21.7600,0.000091
FILLER_0_4_71,VGND,li1,40.9400,21.7600,0.000087
FILLER_0_4_45,VGND,li1,27.6000,21.7600,0.000065
FILLER_0_4_29,VGND,li1,20.7000,21.7600,0.000051
FILLER_0_4_26,VGND,li1,17.9400,21.7600,0.000042
FILLER_0_4_16,VGND,li1,13.1100,21.7600,0.000042
FILLER_0_4_6,VGND,li1,9.6600,21.7600,0.000042
FILLER_0_3_138,VGND,li1,69.2300,21.7600,0.000128
FILLER_0_3_132,VGND,li1,67.6200,21.7600,0.000125
FILLER_0_3_120,VGND,li1,63.4800,21.7600,0.000120
FILLER_0_3_109,VGND,li1,56.3500,21.7600,0.000108
FILLER_0_3_93,VGND,li1,50.1400,21.7600,0.000101
FILLER_0_3_81,VGND,li1,45.5400,21.7600,0.000095
FILLER_0_3_69,VGND,li1,40.0200,21.7600,0.000087
FILLER_0_3_57,VGND,li1,34.5000,21.7600,0.000078
FILLER_0_3_55,VGND,li1,31.0500,21.7600,0.000073
FILLER_0_3_47,VGND,li1,27.3700,21.7600,0.000065
FILLER_0_3_39,VGND,li1,25.3000,21.7600,0.000059
FILLER_0_3_27,VGND,li1,20.7000,21.7600,0.000051
FILLER_0_3_3,VGND,li1,7.1300,21.7600,0.000042
FILLER_0_2_152,VGND,li1,75.6700,16.3200,0.000194
FILLER_0_2_148,VGND,li1,74.5200,16.3200,0.000194
FILLER_0_2_139,VGND,li1,69.6900,16.3200,0.000192
FILLER_0_2_133,VGND,li1,68.0800,16.3200,0.000192
FILLER_0_2_121,VGND,li1,63.9400,16.3200,0.000190
FILLER_0_2_109,VGND,li1,58.4200,16.3200,0.000175
FILLER_0_2_97,VGND,li1,52.9000,16.3200,0.000162
FILLER_0_2_85,VGND,li1,47.3800,16.3200,0.000147
FILLER_0_2_83,VGND,li1,43.9300,16.3200,0.000134
FILLER_0_2_71,VGND,li1,40.9400,16.3200,0.000126
FILLER_0_2_59,VGND,li1,35.4200,16.3200,0.000110
FILLER_0_2_47,VGND,li1,29.9000,16.3200,0.000097
FILLER_0_2_29,VGND,li1,19.5500,16.3200,0.000058
FILLER_0_2_24,VGND,li1,17.4800,16.3200,0.000048
FILLER_0_2_6,VGND,li1,9.6600,16.3200,0.000052
FILLER_0_1_156,VGND,li1,77.9700,16.3200,0.000194
FILLER_0_1_148,VGND,li1,75.4400,16.3200,0.000194
FILLER_0_1_136,VGND,li1,70.8400,16.3200,0.000193
FILLER_0_1_111,VGND,li1,56.8100,16.3200,0.000169
FILLER_0_1_105,VGND,li1,55.2000,16.3200,0.000169
FILLER_0_1_93,VGND,li1,51.0600,16.3200,0.000157
FILLER_0_1_81,VGND,li1,45.5400,16.3200,0.000141
FILLER_0_1_69,VGND,li1,40.0200,16.3200,0.000126
FILLER_0_1_57,VGND,li1,34.5000,16.3200,0.000110
FILLER_0_1_55,VGND,li1,31.0500,16.3200,0.000097
FILLER_0_1_51,VGND,li1,29.9000,16.3200,0.000097
FILLER_0_1_3,VGND,li1,7.3600,16.3200,0.000052
FILLER_0_0_153,VGND,li1,76.5900,10.8800,0.000122
FILLER_0_0_141,VGND,li1,73.1400,10.8800,0.000122
FILLER_0_0_139,VGND,li1,69.6900,10.8800,0.000121
FILLER_0_0_113,VGND,li1,58.1900,10.8800,0.000108
FILLER_0_0_109,VGND,li1,56.3500,10.8800,0.000104
FILLER_0_0_97,VGND,li1,52.9000,10.8800,0.000097
FILLER_0_0_85,VGND,li1,47.3800,10.8800,0.000086
FILLER_0_0_81,VGND,li1,43.4700,10.8800,0.000076
FILLER_0_0_69,VGND,li1,40.0200,10.8800,0.000071
FILLER_0_0_57,VGND,li1,34.5000,10.8800,0.000059
FILLER_0_0_53,VGND,li1,30.5900,10.8800,0.000051
FILLER_0_0_41,VGND,li1,27.1400,10.8800,0.000044
FILLER_0_0_29,VGND,li1,21.6200,10.8800,0.000033
FILLER_0_0_27,VGND,li1,18.1700,10.8800,0.000026
FILLER_0_0_19,VGND,li1,16.1000,10.8800,0.000021
clkbuf_1_1__f_clk_CPU,VGND,li1,54.7400,43.5200,0.000368
clkbuf_1_0__f_clk_CPU,VGND,li1,30.8200,43.5200,0.000254
clkbuf_0_clk_CPU,VGND,li1,43.2400,48.9600,0.000277
_377__33,VGND,li1,77.9700,81.6000,0.000003
_376__32,VGND,li1,76.5900,81.6000,0.000003
output31,VGND,li1,77.9700,10.8800,0.000122
output30,VGND,li1,77.9700,16.3200,0.000194
output29,VGND,li1,77.9700,32.6400,0.000163
output28,VGND,li1,77.9700,21.7600,0.000135
output27,VGND,li1,77.9700,27.2000,0.000267
output26,VGND,li1,77.9700,76.1600,0.000010
output25,VGND,li1,77.9700,70.7200,0.000023
output24,VGND,li1,77.9700,65.2800,0.000220
output23,VGND,li1,77.9700,59.8400,0.000164
output22,VGND,li1,77.9700,54.4000,0.000179
output21,VGND,li1,77.9700,48.9600,0.000305
output20,VGND,li1,77.9700,43.5200,0.000371
output19,VGND,li1,77.9700,38.0800,0.000259
input18,VGND,li1,10.5800,81.6000,0.000001
input17,VGND,li1,8.2800,81.6000,0.000001
input16,VGND,li1,8.2800,76.1600,0.000002
input15,VGND,li1,8.2800,76.1600,0.000002
input14,VGND,li1,7.5900,21.7600,0.000042
input13,VGND,li1,7.5900,32.6400,0.000042
input12,VGND,li1,7.5900,32.6400,0.000042
input11,VGND,li1,10.5800,10.8800,0.000021
input10,VGND,li1,7.5900,16.3200,0.000052
input9,VGND,li1,7.5900,70.7200,0.000009
input8,VGND,li1,7.5900,65.2800,0.000053
input7,VGND,li1,7.5900,59.8400,0.000040
input6,VGND,li1,7.5900,54.4000,0.000037
input5,VGND,li1,7.5900,54.4000,0.000037
input4,VGND,li1,10.8100,48.9600,0.000092
input3,VGND,li1,7.5900,43.5200,0.000101
input2,VGND,li1,7.5900,43.5200,0.000101
input1,VGND,li1,7.8200,38.0800,0.000063
TAP_TAPCELL_ROW_26_125,VGND,li1,70.1500,81.8910,0.000003
TAP_TAPCELL_ROW_26_124,VGND,li1,57.2700,81.8910,0.000003
TAP_TAPCELL_ROW_26_123,VGND,li1,44.3900,81.8910,0.000003
TAP_TAPCELL_ROW_26_122,VGND,li1,31.5100,81.8910,0.000003
TAP_TAPCELL_ROW_26_121,VGND,li1,18.6300,81.8910,0.000001
TAP_TAPCELL_ROW_25_120,VGND,li1,57.2700,81.3080,0.000003
TAP_TAPCELL_ROW_25_119,VGND,li1,31.5100,81.3080,0.000003
TAP_TAPCELL_ROW_24_118,VGND,li1,70.1500,76.4510,0.000009
TAP_TAPCELL_ROW_24_117,VGND,li1,44.3900,76.4510,0.000006
TAP_TAPCELL_ROW_24_116,VGND,li1,18.6300,76.4510,0.000002
TAP_TAPCELL_ROW_23_115,VGND,li1,57.2700,75.8680,0.000008
TAP_TAPCELL_ROW_23_114,VGND,li1,31.5100,75.8680,0.000004
TAP_TAPCELL_ROW_22_113,VGND,li1,70.1500,71.0110,0.000022
TAP_TAPCELL_ROW_22_112,VGND,li1,44.3900,71.0110,0.000019
TAP_TAPCELL_ROW_22_111,VGND,li1,18.6300,71.0110,0.000010
TAP_TAPCELL_ROW_21_110,VGND,li1,57.2700,70.4280,0.000020
TAP_TAPCELL_ROW_21_109,VGND,li1,31.5100,70.4280,0.000017
TAP_TAPCELL_ROW_20_108,VGND,li1,70.1500,65.5710,0.000216
TAP_TAPCELL_ROW_20_107,VGND,li1,44.3900,65.5710,0.000160
TAP_TAPCELL_ROW_20_106,VGND,li1,18.6300,65.5710,0.000064
TAP_TAPCELL_ROW_19_105,VGND,li1,57.2700,64.9880,0.000191
TAP_TAPCELL_ROW_19_104,VGND,li1,31.5100,64.9880,0.000116
TAP_TAPCELL_ROW_18_103,VGND,li1,70.1500,60.1310,0.000160
TAP_TAPCELL_ROW_18_102,VGND,li1,44.3900,60.1310,0.000105
TAP_TAPCELL_ROW_18_101,VGND,li1,18.6300,60.1310,0.000041
